18 	4 	14 	16 	21 	21 	21 	12 	25 	9 
20 	22 	9 	11 	20 	21 	6 	8 	21 	15 
23 	12 	18 	16 	23 	18 	2 	18 	19 	12 
8 	6 	5 	3 	9 	8 	10 	10 	10 	2 
25 	12 	15 	10 	22 	14 	22 	14 	5 	9 
3 	7 	18 	16 	15 	19 	15 	14 	18 	22 
8 	22 	17 	7 	1 	13 	25 	3 	23 	13 
21 	2 	15 	14 	4 	20 	15 	22 	4 	20 
4 	22 	19 	12 	21 	25 	19 	17 	9 	13 
6 	4 	4 	16 	10 	10 	14 	23 	3 	15 
22 	16 	16 	23 	1 	10 	16 	17 	9 	13 
23 	1 	2 	23 	17 	14 	24 	20 	5 	20 
8 	23 	15 	1 	10 	1 	9 	9 	6 	21 
11 	21 	6 	14 	22 	14 	6 	8 	24 	17 
22 	12 	23 	10 	13 	15 	8 	14 	11 	4 
13 	14 	11 	24 	17 	15 	7 	12 	13 	2 
4 	8 	18 	9 	6 	18 	20 	9 	17 	16 
2 	9 	13 	18 	21 	12 	5 	16 	13 	17 
15 	13 	25 	18 	19 	22 	15 	20 	4 	2 
20 	23 	3 	24 	24 	10 	24 	12 	23 	25 
12 	16 	18 	18 	22 	11 	14 	2 	22 	23 
20 	20 	12 	15 	15 	12 	22 	14 	5 	19 
18 	14 	4 	9 	10 	4 	15 	4 	5 	3 
22 	12 	5 	4 	16 	18 	24 	18 	17 	10 
6 	6 	21 	9 	24 	12 	13 	6 	9 	8 
6 	22 	4 	6 	3 	8 	22 	2 	10 	7 
6 	4 	23 	9 	3 	19 	11 	8 	2 	19 
4 	14 	20 	14 	24 	6 	6 	2 	7 	9 
6 	5 	6 	19 	15 	1 	18 	15 	6 	11 
19 	9 	16 	24 	21 	11 	2 	15 	10 	8 
16 	17 	13 	21 	9 	25 	11 	14 	17 	3 
7 	8 	3 	8 	15 	9 	8 	5 	23 	20 
14 	1 	13 	17 	21 	6 	16 	19 	2 	10 
6 	10 	12 	22 	9 	19 	22 	14 	8 	7 
13 	21 	8 	14 	21 	20 	10 	24 	1 	11 
5 	20 	10 	18 	4 	11 	1 	2 	17 	17 
6 	13 	5 	3 	20 	5 	9 	18 	16 	17 
11 	20 	10 	9 	13 	20 	6 	9 	4 	18 
4 	19 	15 	9 	15 	8 	1 	10 	17 	1 
6 	2 	13 	11 	23 	3 	23 	11 	25 	20 
15 	7 	19 	11 	22 	16 	9 	16 	13 	23 
3 	12 	16 	14 	16 	20 	15 	11 	11 	1 
